RedFighter,RedNationality,BlueFighter,BlueNationality,Date,Location,Country,Winner,TitleBout,WeightClass,WinnerNationality,Loser,LoserNationality
Jimmy Crute,Australia,Sam Alvey,United States of America,2019-02-09,"Melbourne, Victoria, Australia", Australia,Red,False,Light Heavyweight,Australia,Sam Alvey,United States of America
Callan Potter,Australia,Jalin Turner,United States of America,2019-02-09,"Melbourne, Victoria, Australia", Australia,Blue,False,Lightweight,United States of America,Callan Potter,Australia
Chad Mendes,United States of America,Alexander Volkanovski,Australia,2018-12-29,"Los Angeles, California, USA", USA,Blue,False,Featherweight,Australia,Chad Mendes,United States of America
Junior Dos Santos,Brazil,Tai Tuivasa,Australia,2018-12-01,"Adelaide, South Australia, Australia", Australia,Red,False,Heavyweight,Brazil,Tai Tuivasa,Australia
Mauricio Rua,Brazil,Tyson Pedro,Australia,2018-12-01,"Adelaide, South Australia, Australia", Australia,Red,False,Light Heavyweight,Brazil,Tyson Pedro,Australia
Mark Hunt,Australia,Justin Willis,United States of America,2018-12-01,"Adelaide, South Australia, Australia", Australia,Blue,False,Heavyweight,United States of America,Mark Hunt,Australia
Jake Matthews,Australia,Anthony Rocco Martin,United States of America,2018-12-01,"Adelaide, South Australia, Australia", Australia,Blue,False,Welterweight,United States of America,Jake Matthews,Australia
Suman Mokhtarian,Australia,Sodiq Yusuff,United States of America,2018-12-01,"Adelaide, South Australia, Australia", Australia,Blue,False,Featherweight,United States of America,Suman Mokhtarian,Australia
Jimmy Crute,Australia,Paul Craig,United Kingdom,2018-12-01,"Adelaide, South Australia, Australia", Australia,Red,False,Light Heavyweight,Australia,Paul Craig,United Kingdom
Wilson Reis,United States of America,Ben Nguyen,Australia,2018-12-01,"Adelaide, South Australia, Australia", Australia,Red,False,Flyweight,United States of America,Ben Nguyen,Australia
Livinha Souza,Brazil,Alex Chambers,Australia,2018-09-22,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,False,Women's Strawweight,Brazil,Alex Chambers,Australia
Mark Hunt,Australia,Aleksei Oleinik,Russia,2018-09-15,"Moscow, Moscow, Russia", Russia,Blue,False,Heavyweight,Russia,Mark Hunt,Australia
Darren Elkins,United States of America,Alexander Volkanovski,Australia,2018-07-14,"Boise, Idaho, USA", USA,Blue,False,Featherweight,Australia,Darren Elkins,United States of America
Ovince Saint Preux,United States of America,Tyson Pedro,Australia,2018-06-23,"Kallang, Singapore", Singapore,Red,False,Light Heavyweight,United States of America,Tyson Pedro,Australia
Jessica-Rose Clark,Australia,Jessica Eye,United States of America,2018-06-23,"Kallang, Singapore", Singapore,Blue,False,Women's Flyweight,United States of America,Jessica-Rose Clark,Australia
Shinsho Anzai,Japan,Jake Matthews,Australia,2018-06-23,"Kallang, Singapore", Singapore,Blue,False,Welterweight,Australia,Shinsho Anzai,Japan
Robert Whittaker,Australia,Yoel Romero,United States of America,2018-06-09,"Chicago, Illinois, USA", USA,Red,False,Middleweight,Australia,Yoel Romero,United States of America
Andrei Arlovski,United States of America,Tai Tuivasa,Australia,2018-06-09,"Chicago, Illinois, USA", USA,Blue,False,Heavyweight,Australia,Andrei Arlovski,United States of America
Daniel Kelly,Australia,Tom Breese,United Kingdom,2018-05-27,"Liverpool, England, United Kingdom", United Kingdom,Blue,False,Middleweight,United Kingdom,Daniel Kelly,Australia
Bec Rawlings,Australia,Ashlee Evans-Smith,United States of America,2018-04-07,"Brooklyn, New York, USA", USA,Blue,False,Women's Flyweight,United States of America,Bec Rawlings,Australia
Mark Hunt,Australia,Curtis Blaydes,United States of America,2018-02-10,"Perth, Western Australia, Australia", Australia,Blue,False,Heavyweight,United States of America,Mark Hunt,Australia
Tai Tuivasa,Australia,Cyril Asker,France,2018-02-10,"Perth, Western Australia, Australia", Australia,Red,False,Heavyweight,Australia,Cyril Asker,France
Jake Matthews,Australia,Li Jingliang,China,2018-02-10,"Perth, Western Australia, Australia", Australia,Red,False,Welterweight,Australia,Li Jingliang,China
Tyson Pedro,Australia,Saparbeg Safarov,Russia,2018-02-10,"Perth, Western Australia, Australia", Australia,Red,False,Light Heavyweight,Australia,Saparbeg Safarov,Russia
Damien Brown,Australia,Dong Hyun Ma,South Korea,2018-02-10,"Perth, Western Australia, Australia", Australia,Blue,False,Lightweight,South Korea,Damien Brown,Australia
